Parámetros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	6.50	95	1	0
Fuente_2	7.30	158	0	0
Fuente_3	6.95	269	0	1
Fuente_4	7.75	239	1	0
Fuente_5	7.04	187	0	0
Fuente_6	6.66	163	0	0
Fuente_7	7.46	281	4	2
Fuente_8	7.56	154	3	1
Fuente_9	7.94	121	0	0
Fuente_10	7.90	103	0	0
Fuente_11	7.16	209	0	0
Fuente_12	7.46	214	0	0
Fuente_13	7.35	116	0	0
Fuente_14	6.94	114	1	1
Fuente_15	6.83	117	1	0
Fuente_16	6.92	108	1	0
Fuente_17	7.38	203	8	0
Fuente_18	7.47	269	5	1
Fuente_19	8.02	244	4	1
Fuente_20	7.39	219	0	0
Fuente_21	7.29	222	0	1
Fuente_22	7.49	121	0	0
Fuente_23	6.75	145	1	1
Fuente_24	7.23	166	0	0
Fuente_25	7.37	173	0	0
