Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	5.89	126	1	0
Fuente_2	7.25	158	0	0
Fuente_3	6.95	269	2	0
Fuente_4	7.98	239	0	2
Fuente_5	7.04	200	0	0
Fuente_6	6.66	178	0	0
Fuente_7	7.46	281	2	1
Fuente_8	7.54	161	0	0
Fuente_9	7.54	121	1	0
Fuente_10	7.83	103	0	0
Fuente_11	7.16	187	0	1
Fuente_12	7.46	214	2	0
Fuente_13	8.20	116	0	0
Fuente_14	6.94	117	1	1
Fuente_15	6.83	112	1	0
Fuente_16	6.92	108	1	0
Fuente_17	7.38	199	5	1
Fuente_18	7.47	269	3	2
Fuente_19	7.67	244	0	0
Fuente_20	7.47	216	0	0
Fuente_21	7.29	202	1	0
Fuente_22	7.56	121	0	0
Fuente_23	6.60	141	2	0
Fuente_24	7.49	170	0	0
Fuente_25	7.45	173	0	1
